Сorp.ID;Speaker;gender;Recording;URL;Context;Token;Realization;Year;ph.context;age.in.2019
342079;анс1925;f;20130705a-ans;http://www.parasolcorpus.org/Pushkino/OUT/20130705a-ans-409265-424089.wav;Да тряпок - то эстолько < у нас - то >, да на печку, < до дыр >... ой, пару - то! Дух - то! Господи ты помилуй, ой да как #ещё# пережили, ой...;ещё;ʂ:;1925;intervoc;94
49022;анс1925;f;20140622c-ans-1a;http://www.parasolcorpus.org/Pushkino/OUT/20140622c-ans-1a-1185110-1188920.wav;Ведь теперь в лес - от угонят #ещё# с четырнадцати годов.;ещё;ʂ:;1925;intervoc;94
1816;анс1925;f;20140622c-ans-1b;http://www.parasolcorpus.org/Pushkino/OUT/20140622c-ans-1b-1032095-1034328.wav;Не пил бы может, дак #ещё# бы пожил.;ещё;ʂ:;1925;intervoc;94
1972;анс1925;f;20140622c-ans-1b;http://www.parasolcorpus.org/Pushkino/OUT/20140622c-ans-1b-1129310-1131122.wav; #ещё# на ногах хожу как - то.;ещё;ʂ:;1925;intervoc;94
631;анс1925;f;20140622c-ans-1b;http://www.parasolcorpus.org/Pushkino/OUT/20140622c-ans-1b-352554-354548.wav;Возьми #ещё# пряник - то, кушай.;ещё;ʂ:;1925;intervoc;94
185815;анс1925;f;20140622c-ans-1c;http://www.parasolcorpus.org/Pushkino/OUT/20140622c-ans-1c-1400973-1411169.wav;Да за полем #ещё# Лия Павловна, наше поколение, а тут все помоло = ну сейчас есть, стали выходить, на восемьдесят годов уж есть.;ещё;ʂ:;1925;intervoc;94
184517;анс1925;f;20140622c-ans-1c;http://www.parasolcorpus.org/Pushkino/OUT/20140622c-ans-1c-684338-685387.wav;Там #ещё# зайдёшь?;ещё;ʂ:;1925;intervoc;94
282560;анс1925;f;I20130625b1;http://www.parasolcorpus.org/Pushkino/OUT/I20130625b1-1545273-1549651.wav;Пока #ещё# люблю.;ещё;ʂ:;1925;intervoc;94
68719;анс1925;f;I20130625b2;http://www.parasolcorpus.org/Pushkino/OUT/I20130625b2-1074215-1076558.wav; #ещё# керосин тут где возьмёшь.;ещё;ʂ:;1925;intervoc;94
69551;анс1925;f;I20130625b2;http://www.parasolcorpus.org/Pushkino/OUT/I20130625b2-1541904-1543684.wav;Чай - то #ещё# надо, не надо?;ещё;ʂ:;1925;intervoc;94
67730;анс1925;f;I20130625b2;http://www.parasolcorpus.org/Pushkino/OUT/I20130625b2-376628-380874.wav;Я бы не болела да, красна была <? >, дак #ещё# спела б.;ещё;ʂ:;1925;intervoc;94
67772;анс1925;f;I20130625b2;http://www.parasolcorpus.org/Pushkino/OUT/I20130625b2-402672-405920.wav;Ох, а Катя #ещё# хуже моего, хромает.;ещё;ʂ:;1925;intervoc;94
67811;анс1925;f;I20130625b2;http://www.parasolcorpus.org/Pushkino/OUT/I20130625b2-436147-438095.wav;А чего #ещё# спеть - то?;ещё;ʂ:;1925;intervoc;94
259277;анс1925;f;20160630g-ans-1;http://www.parasolcorpus.org/Pushkino/OUT/20160630g-ans-1-91319-99589.wav;Да худое здоровье - то! #ещё# ... пришли опять эва ведь, пьяницы - то пришли опять.;ещё;ʂ:;1925;intervoc;94
261147;анс1925;f;20160630g-ans-1;http://www.parasolcorpus.org/Pushkino/OUT/20160630g-ans-1-1278417-1289103.wav;Да не жалятся! Дак #ещё# очереди, очереди, ой, очереди большие... < ещё > надо очереди.;ещё;ʂ:;1925;intervoc;94
261635;анс1925;f;20160630g-ans-1;http://www.parasolcorpus.org/Pushkino/OUT/20160630g-ans-1-1534356-1542494.wav;Что д = что уж мужики - то, бабы - то спились - то все - то, бабы - то. Бабы - то #ещё# краснее пьют.;ещё;ʂ:;1925;intervoc;94
261679;анс1925;f;20160630g-ans-1;http://www.parasolcorpus.org/Pushkino/OUT/20160630g-ans-1-1566417-1575812.wav;Какое, досуг ли пить! Встанешь #ещё# , солнышко только что зашло, уж на работу.;ещё;ʂ:;1925;intervoc;94
262426;анс1925;f;20160630g-ans-1;http://www.parasolcorpus.org/Pushkino/OUT/20160630g-ans-1-2048247-2049264.wav;Пока #ещё# нет.;ещё;ʂ:;1925;intervoc;94
262721;анс1925;f;20160630g-ans-1;http://www.parasolcorpus.org/Pushkino/OUT/20160630g-ans-1-2208255-2213601.wav;Вот. А как #ещё# Бестужево... Бестужево < стоит >.;ещё;ʂ:;1925;intervoc;94
263058;анс1925;f;20160630g-ans-1;http://www.parasolcorpus.org/Pushkino/OUT/20160630g-ans-1-2452885-2460402.wav;О Вася #ещё# придет дак будет мне ещё лекарства давать да о.;ещё;ʂ:;1925;intervoc;94
71541;анс1925;f;20140628b-ans;http://www.parasolcorpus.org/Pushkino/OUT/20140628b-ans-2543666-2548045.wav;Плачивали #ещё# , то хлебом, то деньгами, деньгами, хлебом.;ещё;ɕ:;1925;intervoc;94
343213;анс1925;f;20130705a-ans;http://www.parasolcorpus.org/Pushkino/OUT/20130705a-ans-1263930-1266262.wav;А малая #ещё# была я тогда!;ещё;ʂtʂ;1925;intervoc;94
